lat,long,commonID,samplingProgram
47.51388,-80.5893,Island_1,BsM
48.08286,-82.62678,Ivanhoe_1,BsM
44.69486,-78.03569,Jack_1,BsM
47.99953,-85.58941,Jackfish_1,BsM
45.6908,-77.48759,Jacks_2,BsM
48.35246,-90.32642,Jacob_1,BsM
49.15209,-93.06429,James_1,BsM
51.0898,-92.13638,Jeanette_1,BsM
49.16785,-89.45932,Jolly_1,BsM
45.17434,-79.7239,Joseph_1,BsM
48.90799,-84.40651,Kabinakagami_1,BsM
49.02999,-84.45079,Kabinakagamisis_1,BsM
45.82922,-82.30542,Kagawong_1,BsM
49.05496,-93.39573,Kaiashkons_1,BsM
49.24073,-93.83253,Kakagi_1,BsM
47.17792,-81.39287,Kalaco_1,BsM
45.41755,-77.68981,Kamaniskeg_1,BsM
47.97534,-81.3826,Kapiskong_1,BsM
48.4837,-82.94457,Kapuskasing_1,BsM
48.71886,-90.39423,Kashabowie_1,BsM
49.80782,-89.97097,Kashishibog_1,BsM
44.8566,-77.0385,Kashwakamak_1,BsM
47.90867,-81.96916,Katagi_1,BsM
44.45749,-78.2587,Katchewanooka_1,BsM
49.12173,-93.7193,Katimiagamak_1,BsM
48.06369,-85.33663,Katzenbach_1,BsM
50.19687,-90.18618,Kawaweogama_1,BsM
49.23546,-91.47242,Kay_1,BsM
49.50753,-90.01676,Kearns_1,BsM
45.7037,-77.32428,Kelly_1,BsM
49.70602,-86.85844,Kenogamisis_1,BsM
48.24057,-81.52985,Kenogamissi_1,BsM
50.32589,-80.24009,Kesagami_1,BsM
51.11995,-88.82077,Kilbarry_1,BsM
49.24343,-87.89394,Kilgour_1,BsM
45.34172,-78.67605,Kimball_1,BsM
51.5321,-93.92675,Kirkness_1,BsM
46.65714,-83.09401,Kirkpatrick_1,BsM
47.33973,-79.95931,Kittson_1,BsM
49.80202,-85.86278,Klotz_1,BsM
47.08895,-80.03639,Kokoko_1,BsM
49.7724,-91.68396,Kukukus_1,BsM
47.44016,-84.58345,Kwagama_1,BsM
48.80786,-85.33219,Kwinkwaga_1,BsM
49.20226,-89.61011,Lac des Iles_1,BsM
48.87653,-90.51282,Lac des Mille Lacs_1,BsM
47.35053,-80.14644,Lady Evelyn_1,BsM
49.98409,-91.28781,Lake of Bays_1,BsM
45.25269,-79.0313,Lake of Bays_2,BsM
46.16152,-81.66548,Lang_1,BsM
48.08541,-79.64223,Larder_1,BsM
46.21199,-82.82266,Lauzon_1,BsM
49.83328,-80.07989,Lawagamau_1,BsM
49.27504,-93.36566,Lawrence_1,BsM
45.17317,-77.20911,Leatherroot_1,BsM
48.05118,-84.683,Lena_1,BsM
48.29901,-92.37509,Lilac_1,BsM
53.85483,-92.85197,Lingman_1,BsM
49.4068,-80.54886,Little Abitibi_1,BsM
47.13256,-81.09204,Little Burwash_1,BsM
46.357,-83.13157,Little Chiblow_1,BsM
47.76202,-84.71272,Little Dossier_1,BsM
49.74674,-80.27486,Little Kesagami_1,BsM
45.28978,-78.12084,Little Meach_1,BsM
49.01989,-88.83585,Little Moraine_1,BsM
49.45098,-91.54113,Little Sandbar_1,BsM
48.78047,-92.68563,Little Turtle_1,BsM
47.84731,-83.82821,Little Wawa_1,BsM
44.42642,-79.67346,Little_1,BsM
44.81843,-79.7132,Little_2,BsM
49.44536,-90.13101,Loganberry_1,BsM
49.44607,-92.32731,Long_1,BsM
49.47507,-86.89059,Long_3,BsM
44.79017,-79.48171,Long_5,BsM
49.71891,-94.29528,Longbow_1,BsM
50.78395,-94.17453,Longlegged_1,BsM
49.002,-93.50355,Loonhaunt_1,BsM
48.1557,-91.32066,Louisa_1,BsM
50.17089,-94.30746,Lount_1,BsM
44.55817,-78.23036,Lovesick_1,BsM
44.5498,-78.27953,Lower Buckhorn_1,BsM
49.27811,-92.94807,Lower Manitou_1,BsM
48.8965,-83.79523,Lower Minnipuka_1,BsM
47.08843,-81.61974,Lower Muldrew_1,BsM
49.80052,-93.75978,Lower Stewart_1,BsM
48.94751,-92.77819,Lowry_1,BsM
47.40481,-80.75706,Lulu_1,BsM
50.10119,-89.46517,Maggotte_1,BsM
47.73095,-81.84357,Makami_1,BsM
47.4477,-80.43034,Makobe_1,BsM
49.89658,-95.00767,Malachi_1,BsM
47.03048,-84.61844,Mamainse_1,BsM
51.66266,-92.93466,Mamakwash_1,BsM
49.55072,-91.82545,Mameigwess_1,BsM
48.90942,-92.31834,Manion_1,BsM
48.16368,-84.37354,Manitowik_1,BsM
50.19345,-91.38973,Marchington_1,BsM
48.38319,-88.80144,Marie Louise_1,BsM
48.89674,-91.51896,Marmion_1,BsM
45.24434,-79.25842,Mary_1,BsM
46.37703,-82.95394,Matinenda_1,BsM
47.82548,-81.54069,Mattagami_1,BsM
49.69831,-90.97644,Mattawa_1,BsM
48.93675,-85.09856,Matthews_1,BsM
48.28734,-91.92461,McAree_1,BsM
48.70827,-91.97711,McCaulay_1,BsM
50.85869,-90.28963,McCrea_1,BsM
47.64612,-84.13189,McEwen_1,BsM
46.30329,-82.73474,McGiverin_1,BsM
49.6134,-86.43808,McKay_1,BsM
45.51374,-79.93303,McKellar_1,BsM
45.36459,-78.01951,McKenzie_1,BsM
47.19445,-79.97194,McLean_1,BsM
47.72341,-83.39714,McLennan_1,BsM
46.53421,-83.8027,McMahon_1,BsM
45.29978,-78.13084,Meach_1,BsM
50.92614,-90.55398,Medcalf_1,BsM
47.24629,-83.52106,Megisan_1,BsM
46.16368,-80.24789,Mercer_1,BsM
48.80983,-91.09871,Mercutio_1,BsM
47.64812,-81.87872,Mesomikenda_1,BsM
49.72717,-90.47071,Metionga_1,BsM
49.75393,-92.2553,Mickle_1,BsM
47.69125,-84.70487,Mijinemungshing_1,BsM
45.09912,-81.39375,Miller_1,BsM
50.76686,-90.54351,Minchin_1,BsM
50.82132,-90.87326,Miniss_1,BsM
