commonID,lat,long,samplingProgram,secchiDepth,maxDepth,yearSample,DOC,TDP,scaled_yearSample,scaled_secchi,scaled_maxDepth
Shillington_1,47.76767,-80.64678,BsM,2.8,34.7,2008,6.9,8.3,7.9328125,-0.752297247,5.141510417
St. Anthony_1,47.96541,-79.71119,BsM,2.8,30.5,2008,6.2,5.6,7.9328125,-0.752297247,0.941510417
Stringer_1,50.18024,-80.87746,BsM,1.2,2,2008,14,10.4,7.9328125,-2.352297247,-27.55848958
Wasicho_1,49.43254,-80.1837,BsM,2.1,1.4,2008,11.9,8.1,7.9328125,-1.452297247,-28.15848958
Watabeag_1,48.24705,-80.55577,BsM,2.9,36.6,2008,6.1,9.4,7.9328125,-0.652297247,7.041510417
Achigan_1,46.91679,-84.19601,BsM,8,44.2,2009,3.8,5.2,8.9328125,4.447702753,14.64151042
Adelaide_1,47.05965,-84.31112,BsM,7.1,47.2,2009,2.6,3.4,8.9328125,3.547702753,17.64151042
Agnew_1,46.36526,-81.75464,BsM,1.9,39.6,2011,8.2,9.1,10.9328125,-1.652297247,10.04151042
Anvil_1,47.07089,-83.51018,BsM,3.5,18.3,2009,4.7,5.3,8.9328125,-0.052297247,-11.25848958
Astonish_1,46.56531,-82.85482,BsM,4.9,15.6,2009,4,4.8,8.9328125,1.347702753,-13.95848958
Avery_1,47.14395,-81.23287,BsM,5.5,18,2010,4.1,4.6,9.9328125,1.947702753,-11.55848958
Bark_1,46.91066,-82.46795,BsM,1.8,29.3,2010,4.8,14.1,9.9328125,-1.752297247,-0.258489583
Beak_1,47.21363,-83.14591,BsM,3,23,2011,5.2,4.8,10.9328125,-0.552297247,-6.558489583
Big Moon_1,46.41782,-82.87769,BsM,5,41.8,2009,2.6,4.6,8.9328125,1.447702753,12.24151042
Boumage_1,46.87978,-82.42729,BsM,5,16,2010,4.1,3.7,9.9328125,1.447702753,-13.55848958
Callahan_1,47.5234,-84.51967,BsM,2.8,6,2011,5.4,7.3,10.9328125,-0.752297247,-23.55848958
Castra_1,46.57422,-83.18879,BsM,5.1,29,2011,5,3.7,10.9328125,1.547702753,-0.558489583
Cataract_1,46.25956,-83.00214,BsM,4.5,4.9,2011,2.6,4.9,10.9328125,0.947702753,-24.65848958
Chiblow_1,46.3472,-83.05073,BsM,6.1,66.9,2009,2.4,3.7,8.9328125,2.547702753,37.34151042
Chrysler_1,47.47118,-81.10758,BsM,7,27.5,2011,2.6,9.5,10.9328125,3.447702753,-2.058489583
Cobre_1,46.63533,-82.79405,BsM,7.9,61.6,2011,2.3,1.7,10.9328125,4.347702753,32.04151042
Constance_1,46.42866,-83.22546,BsM,4,17.1,2010,3.8,7.7,9.9328125,0.447702753,-12.45848958
Dennie_1,46.91451,-81.90151,BsM,10,28,2010,2.8,2.9,9.9328125,6.447702753,-1.558489583
Deschamp_1,46.57699,-82.43105,BsM,2.3,7.5,2011,6.4,11.8,10.9328125,-1.252297247,-22.05848958
Devils_1,46.77811,-83.94464,BsM,7.1,42.1,2009,3.7,3.5,8.9328125,3.547702753,12.54151042
