lakeName,latARU_conv,latBsM,longARU_conv,longBsM,latD_aru,latM1_aru,latM2_aru,latD_BsM,latM1_BsM,latM2_BsM,longD_aru,longM1_aru,longM2_aru,longD_BsM,longM1_BsM,longM2_BsM,ARU_LID,bsmWaterbodyID,latARU,longARU,latM_aru,latS_aru,latDirection,lonD_aru,lonM_aru,lonS_aru,lonDirection
Bear,44.60277777777778,46.18806,-76.9263888888889,-81.44897,44,3,6,46,1,8,76,5,5,81,4,4,18-3471-49404,17-4652-51149,443610,765535,36,10,N,76,55,35,W
Bear,44.60277777777778,46.3314,-76.9263888888889,-80.25596,44,3,6,46,3,3,76,5,5,80,2,5,18-3471-49404,17-5577-51311,443610,765535,36,10,N,76,55,35,W
Bear,45.34055555555556,46.18806,-78.70805555555556,-81.44897,45,2,0,46,1,8,78,4,2,81,4,4,17-6796-50231,17-4652-51149,452026,784229,20,26,N,78,42,29,W
Bear,45.34055555555556,46.3314,-78.70805555555556,-80.25596,45,2,0,46,3,3,78,4,2,80,2,5,17-6796-50231,17-5577-51311,452026,784229,20,26,N,78,42,29,W
Bear,45.44138888888889,46.18806,-79.58583333333333,-81.44897,45,2,6,46,1,8,79,3,5,81,4,4,17-6106-50327,17-4652-51149,452629,793509,26,29,N,79,35,9,W
Bear,45.44138888888889,46.3314,-79.58583333333333,-80.25596,45,2,6,46,3,3,79,3,5,80,2,5,17-6106-50327,17-5577-51311,452629,793509,26,29,N,79,35,9,W
Bear,45.51888888888889,46.18806,-77.90083333333334,-81.44897,45,3,1,46,1,8,77,5,4,81,4,4,18-2734-50445,17-4652-51149,453108,775403,31,8,N,77,54,3,W
Bear,45.51888888888889,46.3314,-77.90083333333334,-80.25596,45,3,1,46,3,3,77,5,4,80,2,5,18-2734-50445,17-5577-51311,453108,775403,31,8,N,77,54,3,W
Bear,46.189166666666665,46.18806,-81.45055555555555,-81.44897,46,1,1,46,1,8,81,2,7,81,4,4,17-4652-51149,17-4652-51149,461121,812702,11,21,N,81,27,2,W
Bear,46.189166666666665,46.3314,-81.45055555555555,-80.25596,46,1,1,46,3,3,81,2,7,80,2,5,17-4652-51149,17-5577-51311,461121,812702,11,21,N,81,27,2,W
Bear,46.464444444444446,46.18806,-82.40527777777778,-81.44897,46,2,7,46,1,8,82,2,4,81,4,4,17-3921-51464,17-4652-51149,462752,822419,27,52,N,82,24,19,W
Bear,46.464444444444446,46.3314,-82.40527777777778,-80.25596,46,2,7,46,3,3,82,2,4,80,2,5,17-3921-51464,17-5577-51311,462752,822419,27,52,N,82,24,19,W
Bear,46.63027777777778,46.18806,-79.60305555555556,-81.44897,46,3,7,46,1,8,79,3,6,81,4,4,17-6069-51648,17-4652-51149,463749,793611,37,49,N,79,36,11,W
Bear,46.63027777777778,46.3314,-79.60305555555556,-80.25596,46,3,7,46,3,3,79,3,6,80,2,5,17-6069-51648,17-5577-51311,463749,793611,37,49,N,79,36,11,W
Bear,48.1325,46.18806,-79.63444444444445,-81.44897,48,0,7,46,1,8,79,3,8,81,4,4,17-6016-53317,17-4652-51149,480757,793804,7,57,N,79,38,4,W
Bear,48.1325,46.3314,-79.63444444444445,-80.25596,48,0,7,46,3,3,79,3,8,80,2,5,17-6016-53317,17-5577-51311,480757,793804,7,57,N,79,38,4,W
Bear,49.20638888888889,46.18806,-81.28777777777778,-81.44897,49,1,2,46,1,8,81,1,7,81,4,4,17-4790-54502,17-4652-51149,491223,811716,12,23,N,81,17,16,W
Bear,49.20638888888889,46.3314,-81.28777777777778,-80.25596,49,1,2,46,3,3,81,1,7,80,2,5,17-4790-54502,17-5577-51311,491223,811716,12,23,N,81,17,16,W
