BsM_Cycle,FMZ,waterbodyID,lakeName,dateSample,yearSample,secchiDepth,alk,Ca,CLIDUR (mg/L),COLTR (TCU),cond,DIC,DOC,KKUT (mg/L),MGUT (mg/L),Na,NNHTUR (mg/L),NNOTUR (ug/L),TKN,pH,TDP,SIO3UR (mg/L),SSO4UR (mg/L),FEUT,lat,long,maxDepth,meanDepth.,surfaceArea,lakeVolume
1,10,17-5191-51772,Wanapitei,2010-04-29,2010,5,17,7.66,0.87,24.8,58,4.7,5,0.365,1.86,1.15,2,210,194,7.3,4,2.2,7.55,NA,46.71176,-80.7164,125.9,38.4,13201.6,5088947373
1,11,17-5827-52344,Anima Nipissing,2009-05-21,2009,8,5.74,3.28,0.21,9.6,30.8,1.8,2.9,0.2,0.935,0.705,10,38,148,6.75,3.1,0.54,5.85,NA,47.25951,-79.90616,76.2,13.7,1920.4,280808889.4
1,11,17-5758-51468,Bain,2008-05-06,2008,5,7.98,3.78,2.7,13.4,42.6,2.04,4.9,0.415,1.16,1.56,12,56,258,6.99,5.7,0.82,5.1,46,46.47284,-80.01199,NA,NA,NA,NA
1,11,17-5664-50851,Balsam,2008-05-06,2008,1.6,2.35,1.62,0.28,62,20,1.12,8.4,0.405,0.545,0.74,24,68,393,6.05,15.5,1.16,3.55,NA,45.9177,-80.14503,NA,NA,NA,NA
1,11,17-5577-51311,Bear,2010-04-29,2010,5.7,10.8,5.26,2.01,7.2,47.8,3.16,2.9,0.575,1.32,1.73,4,2,214,7.16,6.7,0.48,7.75,NA,46.3314,-80.25596,6.1,1.7,63.7,864255.65
1,11,17-5879-50852,Cadden,2009-09-02,2009,3.1,2.96,2.3,13.7,50.4,65,1.2,8.6,0.43,0.635,8.56,18,2,401,6.2,11.4,0.36,2.25,NA,45.9228,-79.86579,12.9,6.3,41.6,2571976.53
1,11,17-6713-51311,Chant Plain,2008-05-06,2008,2.7,7.04,3.2,2.4,41,41.2,2,6.2,0.685,1.08,2.09,14,96,291,6.79,12.7,2.2,5.25,160,46.31366,-78.773,NA,NA,NA,NA
1,11,17-5580-52276,Diamond,2008-05-22,2008,3.5,3.19,2.24,0.22,12.6,23.8,0.98,2.4,0.265,0.71,0.755,18,38,211,6.63,3.6,0.94,5.65,NA,47.20455,-80.24759,38.1,9.6,949.8,88819204.7
1,11,17-5515-51958,Emerald,2009-05-21,2009,8,8,6.32,0.85,5.2,55.8,2.32,2.5,0.305,1.59,0.725,10,26,119,6.92,3.2,0.92,14.2,NA,46.9159,-80.32312,48.8,18.5,581,104820995.5
1,11,17-5733-52151,Kokoko,2008-05-22,2008,3,17.3,7.22,0.25,14.4,54,4.6,3.4,0.25,1.74,0.765,24,36,252,7.28,6.8,1.06,6.35,NA,47.08895,-80.03639,44.8,13.7,543.2,67636900.73
1,11,17-5430-52549,Makobe,2008-05-22,2008,2,1.36,1.64,0.2,14.8,19.2,0.42,3,0.245,0.545,0.67,18,30,186,6.24,3.6,0.9,5.1,NA,47.4477,-80.43034,22.6,5.8,2006.5,117247003.9
1,11,17-5740-52232,Red Squirrel,2008-05-22,2008,3.5,10.2,4.54,0.24,11,39.4,2.62,2.6,0.215,1.27,0.8,18,44,195,7.17,3.8,0.96,6.25,NA,47.16035,-80.02394,33.6,11.3,393.7,43764899.36
1,11,17-5950-51006,Restoule,2008-05-06,2008,2.6,4.29,2.76,4.15,80.6,41.6,1.12,6.5,0.555,0.75,2.88,16,116,362,6.47,10.2,2.04,4.8,323,46.05187,-79.78066,NA,NA,NA,NA
1,11,17-5972-52300,Rib,2009-05-21,2009,7,17.2,6.6,12,12.4,88.4,4.58,3.5,0.265,1.93,7.46,10,50,161,7.24,4.2,1.38,6.3,NA,47.21484,-79.71615,44.8,16.4,675.3,111847997.4
1,11,17-5243-52488,Smoothwater,2008-05-22,2008,4,1.67,1.86,0.21,4.6,22.4,0.7,1.5,0.265,0.64,0.725,24,40,126,6.27,1.3,1.4,6.65,NA,47.39379,-80.6852,NA,NA,NA,NA
1,11,17-5700-52061,"Temagami,",2008-05-30,2008,5,11.8,6.7,0.93,5,59.6,3.08,3,0.335,1.88,1.15,12,48,177,6.64,5.1,0.46,11.6,NA,46.98896,-80.07046,75.9,16.7,20714.1,3472818945
