BsM_Cycle,FMZ,waterbodyID,lakeName,dateSample,yearSample,secchiDepth,maxDepth,meanDepth,lat,long,alk,Ca,CLIDUR (mg/L),COLTR (TCU),cond,DIC,DOC,KKUT (mg/L),MGUT (mg/L),Na,NNHTUR (mg/L),NNOTUR (ug/L),TKN,pH,TDP,SIO3UR (mg/L),SSO4UR (mg/L),FEUT,NtoPratio
1,10,17-2976-52164,South Branch,2009-12-05,2009,3.5,12.2,2.9,47.06961,-83.67101,5.38,3.02,0.15,47,24,1.44,7.2,0.17,0.655,0.685,24,90,324,6.55,5.9,1.92,3.45,122,3.2264666153198323
1,10,17-3943-51700,Spinweb,2009-05-22,2009,3.5,12.5,3.6,46.67548,-82.38285,6.08,3.14,0.24,14.8,26.4,1.86,3.6,0.32,0.615,0.82,30,112,232,6.82,4.2,1.36,4.55,45,3.734479782882738
1,10,17-3716-51254,Turtle,2010-04-27,2010,2.7,30.5,14,46.27189,-82.66444,2.18,1.74,0.32,13.6,15.2,0.92,3.7,0.235,0.43,0.545,12,22,270,6.44,7.4,0.82,3.45,60,2.7786906881958933
1,10,16-6806-52194,Upper Pancake,2009-05-11,2009,5.2,16.8,4,47.10561,-84.61995,4.24,2.5,0.27,18,20.6,1.4,4.2,0.225,0.38,0.645,46,166,282,6.45,4.4,1.28,3.05,103,3.751310690594213
1,10,17-4810-51976,Venetian,2010-04-29,2010,3.7,22.3,5.7,46.93902,-81.25157,4.29,2.5,0.22,13.2,23.6,1.44,3.9,0.26,0.78,0.77,8,2,202,6.68,5.5,1.28,5.3,70,3.0815332914919757
1,10,17-4549-51263,Wabagishik,2011-05-13,2011,1.8,18.5,7.7,46.29283,-81.58644,14.8,16.2,11.1,41.4,166,4.4,6.2,1.4,3,8.5,146,156,422,7,16.7,2.2,36.8,263,2.142655239219668
1,10,17-3606-52610,Wakami,2011-05-18,2011,4.3,10,3.7,47.48206,-82.84313,27.3,9,0.4,11,69.4,7,4.3,0.4,2,1,30,2,248,7.5,8.4,0.5,4.1,138,2.576477299977349
1,10,17-3191-51595,Wakomata,2009-05-15,2009,5,73.2,28.3,46.57189,-83.36057,6.3,3.4,0.61,3.4,30.2,1.74,2,0.235,0.76,0.805,2,156,122,6.76,2.3,1.18,5.05,NA,5.4883060652048705
1,10,17-4608-51161,Walker,2009-05-20,2009,3.5,54.9,26.5,46.1992,-81.50973,20.9,5.74,5.46,11.8,66.2,2.76,3.4,0.605,1.66,3.96,14,74,194,7,5.7,1.06,9.5,NA,2.997041704889666
1,10,17-5191-51772,Wanapitei,2010-04-29,2010,5,125.9,38.4,46.71176,-80.7164,17,7.66,0.87,24.8,58,4.7,5,0.365,1.86,1.15,2,210,194,7.3,4,2.2,7.55,NA,3.7338214939869414
1,10,17-2880-52069,Ward,2009-05-12,2009,5,19,7,46.98394,-83.78715,14.6,2.62,0.18,26.6,22,1.08,5.5,0.24,0.52,0.67,24,86,284,8.67,4.3,1.24,4,111,3.8129785194476584
1,10,17-3974-51436,Whiskey,2009-05-20,2009,6,55.2,22.5,46.43411,-82.34418,5.04,15.4,2.48,11.6,112,1.56,2.7,1.56,1.23,2.07,10,556,232,6.73,3.1,1.08,36.4,44,4.683114405594929
1,11,17-5827-52344,Anima Nipissing,2009-05-21,2009,8,76.2,13.7,47.25951,-79.90616,5.74,3.28,0.21,9.6,30.8,1.8,2.9,0.2,0.935,0.705,10,38,148,6.75,3.1,0.54,5.85,NA,4.2968527203353055
1,11,17-5552-52523,Anvil,2008-05-22,2008,2,22.3,7,47.42262,-80.26691,2.03,1.76,0.14,26,20,0.78,3.8,0.285,0.645,0.715,18,166,213,6.3,5.4,1.98,4.9,82,3.1451928666271693
1,11,17-5577-51311,Bear,2010-04-29,2010,5.7,6.1,1.7,46.3314,-80.25596,10.8,5.26,2.01,7.2,47.8,3.16,2.9,0.575,1.32,1.73,4,2,214,7.16,6.7,0.48,7.75,NA,2.7995095688745284
1,11,17-5879-50852,Cadden,2009-09-02,2009,3.1,12.9,6.3,45.9228,-79.86579,2.96,2.3,13.7,50.4,65,1.2,8.6,0.43,0.635,8.56,18,2,401,6.2,11.4,0.36,2.25,NA,2.4542829851654866
1,11,17-5970-52137,Cassels,2009-05-21,2009,4,36.6,9.6,47.06939,-79.71594,20.1,7.94,3.38,27,74,5.34,5.2,0.325,2.35,2.43,18,80,208,7.29,5.6,1.76,8.45,53,3.067005156758512
