BsM_lakeName,latBsM,longBsM,bsmWaterbodyID,ARU_lakeName,latARU_conv,longARU_conv,ARU_LID,Notes,commonID
Chiblow,46.3472,-83.05073,17-3423-51340,Chiblow,46.34361111,-83.04916667,17-3423-51340,NA,Chiblow_1
Christie,44.80311,-76.43918,18-3862-49620,Christie,44.80444444,-76.43888889,18-3862-49620,NA,Christie_1
Chrysler,47.47118,-81.10758,17-4919-52573,Chrysler,47.47111111,-81.10777778,17-4919-52573,NA,Chrysler_1
Church,48.52654,-90.56936,15-6795-53776,Church,48.5275,-90.56888889,15-6795-53776,NA,Church_1
Churchill,50.79425,-91.17578,15-6286-56283,Churchill,50.79416667,-91.17555556,15-6286-56283,NA,Churchill_1
Circle,49.35977,-89.01858,16-3534-54692,Circle,49.35972222,-89.01861111,16-3534-54692,NA,Circle_1
Clay,50.04611,-93.48572,15-4653-55440,Clay,50.04916667,-93.48527778,15-4653-55440,NA,Clay_1
Clear,45.44131,-77.1955,18-3287-50341,Clear,45.44111111,-77.19055556,18-3287-50341,NA,Clear_1
Clear,46.09839,-79.78115,17-5942-51055,Clear,46.09833333,-79.78138889,17-5942-51055,NA,Clear_2
Clear,44.51481,-78.19302,17-7230-49327,Clear,44.51527778,-78.19444444,17-7230-49327,NA,Clear_3
Clearwater West,49.00747,-91.98602,15-5755-54281,Clearwater West,49.00333333,-91.96833333,15-5755-54281,NA,Clearwater West_1
Clegge,48.74428,-88.7448,16-3718-54003,Clegge,48.74416667,-88.74416667,16-3718-54003,NA,Clegge_1
Cliff,50.16879,-93.29998,15-4785-55574,Cliff,50.17083333,-93.30083333,15-4785-55574,NA,Cliff_1
Cliff,49.04188,-88.77821,16-3700-54335,Cliff,49.0425,-88.77861111,16-3700-54335,NA,Cliff_2
Cloud,48.13648,-89.54093,16-3108-53342,Cloud,48.13527778,-89.54277778,16-3108-53342,NA,Cloud_1
Cobble,49.89458,-93.61903,15-4552-55258,Cobble,49.88527778,-93.62388889,15-4552-55258,NA,Cobble_1
Cobre,46.63533,-82.79405,17-3627-51660,Cobre,46.63527778,-82.79416667,17-3627-51660,NA,Cobre_1
Coli,51.31536,-93.59007,15-4589-56848,Coli,51.31527778,-93.58972222,15-4589-56848,NA,Coli_1
Commanda,46.01084,-79.70668,17-6007-50961,Commanda,46.01333333,-79.69972222,17-6007-50961,NA,Commanda_1
Como,47.91648,-83.5157,17-3120-53099,Como,47.91638889,-83.51583333,17-3120-53099,NA,Como_1
Confederation,51.11521,-92.67556,15-5210-56629,Confederation,51.11888889,-92.69944444,15-5210-56629,NA,Confederation_1
Confusion,50.65108,-94.17888,15-4187-56135,Confusion,50.67,-94.15111111,15-4187-56136,NA,Confusion_1
Conifer,50.5674,-94.03211,15-4270-56011,Conifer,50.55916667,-94.03083333,15-4270-56011,NA,Conifer_1
Constance,46.42866,-83.22546,17-3290-51439,Constance,46.42861111,-83.22555556,17-3290-51439,NA,Constance_1
Cordova,44.57529,-77.82487,18-2756-49393,Cordova,44.57444444,-77.82638889,18-2756-49394,NA,Cordova_1
Couchiching,44.66428,-79.3763,17-6286-49481,Couchiching,44.67666667,-79.37722222,17-6286-49481,NA,Couchiching_1
Cramadog,45.38969,-79.94266,17-5828-50266,Cramadog,45.39,-79.9425,17-5828-50266,NA,Cramadog_1
Crayfish,48.68673,-90.6148,15-6758-53944,Crayfish,48.68027778,-90.61222222,15-6758-53945,NA,Crayfish_1
Crevasse,49.86587,-89.37235,16-3297-55263,Crevasse,49.86722222,-89.37,16-3297-55263,NA,Crevasse_1
Cripple,45.5596,-79.00745,17-6554-50468,Cripple,45.55888889,-79.00833333,17-6554-50467,NA,Cripple_1
Crook,49.05957,-92.13549,15-5634-54343,Crook,49.06055556,-92.13277778,15-5633-54343,NA,Crook_1
Crooked Pine,48.7846,-91.09824,15-6401-54050,Crooked Pine,48.78444444,-91.09333333,15-6401-54050,NA,Crooked Pine_1
Cross,46.8721,-79.96696,17-5788-51912,Cross,46.87166667,-79.96638889,17-5788-51912,NA,Cross_1
Cross,49.96489,-94.23609,15-4115-55351,Cross,49.96388889,-94.23694444,15-4113-55351,NA,Cross_2
Crotch,44.91255,-76.80939,18-3571-49746,Crotch,44.9125,-76.80972222,18-3572-49746,NA,Crotch_1
Crowrock,48.97243,-91.79738,15-5858-54247,Crowrock,48.97166667,-91.82777778,15-5858-54248,NA,Crowrock_1
Cry,49.92643,-89.01587,16-3557-55322,Cry,49.92638889,-89.01111111,16-3556-55322,NA,Cry_1
Crystal,49.72882,-91.1675,15-6321-55100,Crystal,49.72972222,-91.16722222,15-6321-55100,NA,Crystal_1
Crystal,48.7076,-91.27802,15-6263-53964,Crystal,48.70944444,-91.28277778,15-6263-53964,NA,Crystal_2
Crystal,45.12017,-77.4598,18-3065-49990,Crystal,45.12,-77.46055556,18-3065-49990,NA,Crystal_3
Cummings,46.472,-83.35656,17-3191-51490,Cummings,46.47194444,-83.35666667,17-3191-51490,NA,Cummings_1
Cygnet,49.99142,-94.88562,15-3653-55394,Cygnet,49.99361111,-94.87972222,15-3653-55394,NA,Cygnet_1
Cyprus,45.23131,-81.53198,17-4583-50085,Cyprus,45.23055556,-81.53166667,17-4583-50085,NA,Cyprus_1
Dakota,48.55075,-90.23783,15-7039-53810,Dakota,48.55111111,-90.23638889,15-7039-53810,NA,Dakota_1
