waterbodyID,lakeName,lat,long,latD,latM1,latM2,longD,longM1,longM2,waterbodyID_OG,lakeName_a,lakeName_b,waterbodyAndLake,waterbodyAndLake_ok,waterbodyAndLake_pieces,waterbodyAndLake_remainder
17-3228-51260,Bright ,46.26885,-83.30474,46,2,6,83,3,0,17-3228-51260,Bright,,17-3228-51260 Bright ,TRUE,3,
17-5038-51346,Brodill ,46.37408,-80.94251,46,3,7,80,9,4,17-5038-51346,Brodill,,17-5038-51346 Brodill ,TRUE,3,
17-2807-52072,Buck ,46.98422,-83.8841,46,9,8,83,8,8,17-2807-52072,Buck,,17-2807-52072 Buck ,TRUE,3,
16-6572-52693,Buckshot ,47.55979,-84.91051,47,5,5,84,9,1,16-6572-52693,Buckshot,,16-6572-52693 Buckshot ,TRUE,3,
17-2822-52479,Caesar ,47.35505,-83.8853,47,3,5,83,8,8,17-2822-52479,Caesar,,17-2822-52479 Caesar ,TRUE,3,
16-6867-52661,Callahan ,47.5234,-84.51967,47,5,2,84,5,1,16-6867-52661,Callahan,,16-6867-52661 Callahan ,TRUE,3,
17-5312-52592,Carmen ,47.48696,-80.58688,47,4,8,80,5,8,17-5312-52592,Carmen,,17-5312-52592 Carmen ,TRUE,3,
17-3323-51600,Castra ,46.57422,-83.18879,46,5,7,83,1,8,17-3323-51600,Castra,,17-3323-51600 Castra ,TRUE,3,
17-5229-51902,Caswell ,46.86244,-80.70741,46,8,6,80,7,0,17-5229-51902,Caswell,,17-5229-51902 Caswell ,TRUE,3,
17-3457-51246,Cataract ,46.25956,-83.00214,46,2,5,83,0,0,17-3457-51246,Cataract,,17-3457-51246 Cataract ,TRUE,3,
17-3423-51340,Chiblow ,46.3472,-83.05073,46,3,4,83,0,5,17-3423-51340,Chiblow,,17-3423-51340 Chiblow ,TRUE,3,
17-5240-51985,Chiniguchi ,46.93198,-80.68185,46,9,3,80,6,8,17-5240-51985,Chiniguchi,,17-5240-51985 Chiniguchi ,TRUE,3,
17-4919-52573,Chrysler ,47.47118,-81.10758,47,4,7,81,1,0,17-4919-52573,Chrysler,,17-4919-52573 Chrysler ,TRUE,3,
17-3172-51540,Chub ,46.51091,-83.38389,46,5,1,83,3,8,17-3172-51540,Chub,,17-3172-51540 Chub ,TRUE,3,
17-3627-51660,Cobre ,46.63533,-82.79405,46,6,3,82,7,9,17-3627-51660,Cobre,,17-3627-51660 Cobre ,TRUE,3,
17-3290-51439,Constance ,46.42866,-83.22546,46,4,2,83,2,2,17-3290-51439,Constance,,17-3290-51439 Constance ,TRUE,3,
16-7208-51720,Crooked s,46.6696,-84.11358,46,6,6,84,1,1,16-7208-51720,Crooked,s,16-7208-51720 Crooked s,TRUE,3,
17-3191-51490,Cumming's ,46.472,-83.35656,46,4,7,83,3,5,17-3191-51490,Cumming's,,17-3191-51490 Cumming's ,TRUE,3,
17-3101-51746,Curve ,46.70765,-83.48311,46,7,0,83,4,8,17-3101-51746,Curve,,17-3101-51746 Curve ,TRUE,3,
17-3979-51651,Dave ,46.64081,-82.34239,46,6,4,82,3,4,17-3979-51651,Dave,,17-3979-51651 Dave ,TRUE,3,
17-4313-51958,Dennie ,46.91451,-81.90151,46,9,1,81,9,0,17-4313-51958,Dennie,,17-4313-51958 Dennie ,TRUE,3,
17-3903-51589,Deschamp ,46.57699,-82.43105,46,5,7,82,4,3,17-3903-51589,Deschamp,,17-3903-51589 Deschamp ,TRUE,3,
17-2752-51845,Devil's ,46.77811,-83.94464,46,7,7,83,9,4,17-2752-51845,Devil's,,17-2752-51845 Devil's ,TRUE,3,
16-7004-52204,Dick ,47.10866,-84.358,47,1,0,84,3,5,16-7004-52204,Dick,,16-7004-52204 Dick ,TRUE,3,
17-3450-51565,Dobie ,46.54588,-83.02212,46,5,4,83,0,2,17-3450-51565,Dobie,,17-3450-51565 Dobie ,TRUE,3,
17-3453-51907,NA,46.85428,-83.03,46,8,5,83,0,3,17-3453-51907,"NA",NA,17-3453-51907 NA,FALSE,2,
17-5370-51830,Donald ,46.79829,-80.51028,46,7,9,80,5,1,17-5370-51830,Donald,,17-5370-51830 Donald ,TRUE,3,
17-3053-52211,Dunkerley ,47.11642,-83.56414,47,1,1,83,5,6,17-3053-52211,Dunkerley,,17-3053-52211 Dunkerley ,TRUE,3,
17-3432-51760,Duval ,46.72117,-83.05211,46,7,2,83,0,5,17-3432-51760,Duval,,17-3432-51760 Duval ,TRUE,3,
16-6735-52992,Ear ,47.82228,-84.68512,47,8,2,84,6,8,16-6735-52992,Ear,,16-6735-52992 Ear ,TRUE,3,
17-4598-51271,Ella ,46.29967,-81.52069,46,2,9,81,5,2,17-4598-51271,Ella,,17-4598-51271 Ella ,TRUE,3,
17-3445-51613,Endikai ,46.59111,-83.03067,46,5,9,83,0,3,17-3445-51613,Endikai,,17-3445-51613 Endikai ,TRUE,3,
17-4672-51457,Fairbank ,46.46577,-81.42763,46,4,6,81,4,2,17-4672-51457,Fairbank,,17-4672-51457 Fairbank ,TRUE,3,
17-3634-51607,Flack ,46.58755,-82.78238,46,5,8,82,7,8,17-3634-51607,Flack,,17-3634-51607 Flack ,TRUE,3,
17-3354-52393,Flame ,47.28889,-83.17746,47,2,8,83,1,7,17-3354-52393,Flame,,17-3354-52393 Flame ,TRUE,3,
17-2792-52332,Galloway ,47.21974,-83.91641,47,2,1,83,9,1,17-2792-52332,Galloway,,17-2792-52332 Galloway ,TRUE,3,
16-6678-52804,Gamitagama ,47.65757,-84.76551,47,6,5,84,7,6,16-6678-52804,Gamitagama,,16-6678-52804 Gamitagama ,TRUE,3,
17-2933-51822,Garden ,46.76463,-83.70654,46,7,6,83,7,0,17-2933-51822,Garden,,17-2933-51822 Garden ,TRUE,3,
16-7267-52208,Gavor ,47.10214,-84.01306,47,1,0,84,0,1,16-7267-52208,Gavor,,16-7267-52208 Gavor ,TRUE,3,
17-3860-51538,Geiger ,46.53217,-82.4864,46,5,3,82,4,8,17-3860-51538,Geiger,,17-3860-51538 Geiger ,TRUE,3,
17-3074-52158,Gong ,47.07006,-83.53602,47,0,7,83,5,3,17-3074-52158,Gong,,17-3074-52158 Gong ,TRUE,3,
17-4246-51279,Birch ,46.30414,-81.97448,46,3,0,81,9,7,17-4246-51279,Birch,,17-4246-51279 Birch ,TRUE,3,
17-2975-52266,Goulais ,47.16373,-83.67077,47,1,6,83,6,7,17-2975-52266,Goulais,,17-2975-52266 Goulais ,TRUE,3,
17-2862-52249,Graham ,47.1448,-83.81865,47,1,4,83,8,1,17-2862-52249,Graham,,17-2862-52249 Graham ,TRUE,3,
17-3856-51190,Grassy ,46.21392,-82.48552,46,2,1,82,4,8,17-3856-51190,Grassy,,17-3856-51190 Grassy ,TRUE,3,
17-4723-51114,Great Mountain ,46.158,-81.35883,46,1,5,81,3,5,17-4723-51114,Great,Mountain,17-4723-51114 Great Mountain ,FALSE,4, 
17-4614-51736,Green ,46.71921,-81.50584,46,7,1,81,5,0,17-4614-51736,Green,,17-4614-51736 Green ,TRUE,3,
16-6971-52177,Griffin ,47.08604,-84.40354,47,0,8,84,4,0,16-6971-52177,Griffin,,16-6971-52177 Griffin ,TRUE,3,
17-3006-52333,Gull ,47.22479,-83.63434,47,2,2,83,6,3,17-3006-52333,Gull,,17-3006-52333 Gull ,TRUE,3,
17-2809-52215,Hanes ,47.11457,-83.88482,47,1,1,83,8,8,17-2809-52215,Hanes,,17-2809-52215 Hanes ,TRUE,3,
17-4925-52070,Helen ,47.01777,-81.0952,47,0,1,81,0,9,17-4925-52070,Helen,,17-4925-52070 Helen ,TRUE,3,
17-3927-50818,Ice ,45.88138,-82.3895,45,8,8,82,3,8,17-3927-50818,Ice,,17-3927-50818 Ice ,TRUE,3,
17-4145-52197,Indian ,47.12966,-82.1271,47,1,2,82,1,2,17-4145-52197,Indian,,17-4145-52197 Indian ,TRUE,3,
17-2748-51543,Iron ,46.50559,-83.93295,46,5,0,83,9,3,17-2748-51543,Iron,,17-2748-51543 Iron ,TRUE,3,
17-5310-52621,Island ,47.51388,-80.5893,47,5,1,80,5,8,17-5310-52621,Island,,17-5310-52621 Island ,TRUE,3,
17-4991-51755,Joe ,46.73708,-81.01196,46,7,3,81,0,1,17-4991-51755,Joe,,17-4991-51755 Joe ,TRUE,3,
17-3986-50757,Kagawong,45.82922,-82.30542,45,8,2,82,3,0,17-3986-50757,Kagawong,NA,17-3986-50757 Kagawong,FALSE,2,
17-4702-52245,Kalaco ,47.17792,-81.39287,47,1,7,81,3,9,17-4702-52245,Kalaco,,17-4702-52245 Kalaco ,TRUE,3,
17-3400-51692,Kirkpatrick ,46.65714,-83.09401,46,6,5,83,0,9,17-3400-51692,Kirkpatrick,,17-3400-51692 Kirkpatrick ,TRUE,3,
17-4157-51611,Klondyke s,46.59388,-82.09527,46,5,9,82,0,9,17-4157-51611,Klondyke,s,17-4157-51611 Klondyke s,TRUE,3,
17-5344-51754,Kukagami ,46.73335,-80.55126,46,7,3,80,5,5,17-5344-51754,Kukagami,,17-5344-51754 Kukagami ,TRUE,3,
16-6823-52566,Kwagama ,47.44016,-84.58345,47,4,4,84,5,8,16-6823-52566,Kwagama,,16-6823-52566 Kwagama ,TRUE,3,
17-4169-51104,La Cloche ,46.135,-82.04774,46,1,3,82,0,4,17-4169-51104,La,Cloche,17-4169-51104 La Cloche ,FALSE,4, 
17-3228-51724,Lafoe ,46.69006,-83.31918,46,6,9,83,3,1,17-3228-51724,Lafoe,,17-3228-51724 Lafoe ,TRUE,3,
17-4485-51124,Lang ,46.16152,-81.66548,46,1,6,81,6,6,17-4485-51124,Lang,,17-4485-51124 Lang ,TRUE,3,
17-3592-51192,Lauzon ,46.21199,-82.82266,46,2,1,82,8,2,17-3592-51192,Lauzon,,17-3592-51192 Lauzon ,TRUE,3,
17-2739-51772,Leishman ,46.71227,-83.95743,46,7,1,83,9,5,17-2739-51772,Leishman,,17-2739-51772 Leishman ,TRUE,3,
17-4930-52197,Little Burwash ,47.13256,-81.09204,47,1,3,81,0,9,17-4930-52197,Little,Burwash,17-4930-52197 Little Burwash ,FALSE,4, 
17-3360-51357,Little Chiblow ,46.357,-83.13157,46,3,5,83,1,3,17-3360-51357,Little,Chiblow,17-3360-51357 Little Chiblow ,FALSE,4, 
16-6714-52922,Little Dossier ,47.76202,-84.71272,47,7,6,84,7,1,16-6714-52922,Little,Dossier,16-6714-52922 Little Dossier ,FALSE,4, 
17-4840-51983,NA,46.94007,-81.21003,46,9,4,81,2,1,17-4840-51983,"NA",NA,17-4840-51983 NA,FALSE,2,
17-2884-53030,Little Wawa ,47.84731,-83.82821,47,8,4,83,8,2,17-2884-53030,Little,Wawa,17-2884-53030 Little Wawa ,FALSE,4, 
16-7260-52296,Logan ,47.19047,-84.00983,47,1,9,84,0,0,16-7260-52296,Logan,,16-7260-52296 Logan ,TRUE,3,
17-3422-50829,Loon ,45.88295,-83.0372,45,8,8,83,0,3,17-3422-50829,Loon,,17-3422-50829 Loon ,TRUE,3,
17-5393-51873,Lower Matagamasi ,46.83882,-80.48435,46,8,3,80,4,8,17-5393-51873,Lower,Matagamasi,17-5393-51873 Lower Matagamasi ,FALSE,4, 
17-4529-52150,Lower Muldrew ,47.08843,-81.61974,47,0,8,81,6,1,17-4529-52150,Lower,Muldrew,17-4529-52150 Lower Muldrew ,FALSE,4, 
17-5184-52500,Lulu ,47.40481,-80.75706,47,4,0,80,7,5,17-5184-52500,Lulu,,17-5184-52500 Lulu ,TRUE,3,
16-6811-52113,Mamainse ,47.03048,-84.61844,47,0,3,84,6,1,16-6811-52113,Mamainse,,16-6811-52113 Mamainse ,TRUE,3,
17-4235-50696,Manitou,45.77755,-81.98346,45,7,7,81,9,8,17-4235-50696,Manitou,NA,17-4235-50696 Manitou,FALSE,2,
17-3525-51387,Matinenda ,46.37703,-82.95394,46,3,7,82,9,5,17-3525-51387,Matinenda,,17-3525-51387 Matinenda ,TRUE,3,
16-7153-52806,McEwen ,47.64612,-84.13189,47,6,4,84,1,3,16-7153-52806,McEwen,,16-7153-52806 McEwen ,TRUE,3,
17-3678-51289,McGiverin ,46.30329,-82.73474,46,3,0,82,7,3,17-3678-51289,McGiverin,,17-3678-51289 McGiverin ,TRUE,3,
17-3202-52877,McLennan ,47.72341,-83.39714,47,7,2,83,3,9,17-3202-52877,McLennan,,17-3202-52877 McLennan ,TRUE,3,
17-2851-51570,McMahon ,46.53421,-83.8027,46,5,3,83,8,0,17-2851-51570,McMahon,,17-2851-51570 McMahon ,TRUE,3,
17-3090-52347,Megisan ,47.24629,-83.52106,47,2,4,83,5,2,17-3090-52347,Megisan,,17-3090-52347 Megisan ,TRUE,3,
16-6718-52845,Mijinemungshing ,47.69125,-84.70487,47,6,9,84,7,0,16-6718-52845,Mijinemungshing,,16-6718-52845 Mijinemungshing ,TRUE,3,
17-4239-51999,Mile ,46.94294,-82.00621,46,9,4,82,0,0,17-4239-51999,Mile,,17-4239-51999 Mile ,TRUE,3,
17-4064-50680,Mindemoya ,45.76145,-82.20196,45,7,6,82,2,0,17-4064-50680,Mindemoya,,17-4064-50680 Mindemoya ,TRUE,3,
17-4564-51563,Ministic ,46.56112,-81.56769,46,5,6,81,5,6,17-4564-51563,Ministic,,17-4564-51563 Ministic ,TRUE,3,
17-4175-51987,Mozhabong ,46.95159,-82.08518,46,9,5,82,0,8,17-4175-51987,Mozhabong,,17-4175-51987 Mozhabong ,TRUE,3,
17-4928-51746,Nelson ,46.72762,-81.09533,46,7,2,81,0,9,17-4928-51746,Nelson,,17-4928-51746 Nelson ,TRUE,3,
17-3097-52494,Ninegee ,47.37231,-83.52071,47,3,7,83,5,2,17-3097-52494,Ninegee,,17-3097-52494 Ninegee ,TRUE,3,
17-4352-52392,Ninth ,47.30503,-81.85852,47,3,0,81,8,5,17-4352-52392,Ninth,,17-4352-52392 Ninth ,TRUE,3,
17-5179-52567,Okiniada ,47.46489,-80.76159,47,4,6,80,7,6,17-5179-52567,Okiniada,,17-5179-52567 Okiniada ,TRUE,3,
16-6710-52766,Old Woman ,47.62155,-84.72187,47,6,2,84,7,2,16-6710-52766,Old,Woman,16-6710-52766 Old Woman ,FALSE,4, 
17-4620-52125,Onaping ,47.13886,-81.52075,47,1,3,81,5,2,17-4620-52125,Onaping,,17-4620-52125 Onaping ,TRUE,3,
17-4728-52266,Oshawong ,47.19487,-81.36096,47,1,9,81,3,6,17-4728-52266,Oshawong,,17-4728-52266 Oshawong ,TRUE,3,
17-4743-51217,Panache,46.23782,-81.35711,46,2,3,81,3,5,17-4743-51217,Panache,NA,17-4743-51217 Panache,FALSE,2,
16-6663-52870,Peller ,47.71776,-84.77588,47,7,1,84,7,7,16-6663-52870,Peller,,16-6663-52870 Peller ,TRUE,3,
17-3091-51898,Penelope ,46.83672,-83.50296,46,8,3,83,5,0,17-3091-51898,Penelope,,17-3091-51898 Penelope ,TRUE,3,
17-4237-50795,Pike ,45.87456,-81.98559,45,8,7,81,9,8,17-4237-50795,Pike,,17-4237-50795 Pike ,TRUE,3,
17-4364-52017,Pogamasing ,46.96784,-81.83568,46,9,6,81,8,3,17-4364-52017,Pogamasing,,17-4364-52017 Pogamasing ,TRUE,3,
17-2857-52221,Point ,47.11663,-83.82459,47,1,1,83,8,2,17-2857-52221,Point,,17-2857-52221 Point ,TRUE,3,
17-3813-51443,Popeye ,46.44422,-82.54487,46,4,4,82,5,4,17-3813-51443,Popeye,,17-3813-51443 Popeye ,TRUE,3,
17-4902-52259,Prune ,47.18868,-81.12899,47,1,8,81,1,2,17-4902-52259,Prune,,17-4902-52259 Prune ,TRUE,3,
16-6806-52259,Queminico ,47.16395,-84.61718,47,1,6,84,6,1,16-6806-52259,Queminico,,16-6806-52259 Queminico ,TRUE,3,
17-2800-52265,Quinn ,47.16053,-83.89663,47,1,6,83,8,9,17-2800-52265,Quinn,,17-2800-52265 Quinn ,TRUE,3,
16-7098-52235,Quintet s,47.12774,-84.22743,47,1,2,84,2,2,16-7098-52235,Quintet,s,16-7098-52235 Quintet s,TRUE,3,
17-3810-51468,Quirke ,46.48519,-82.55613,46,4,8,82,5,5,17-3810-51468,Quirke,,17-3810-51468 Quirke ,TRUE,3,
16-6829-52763,Radium ,47.61506,-84.57498,47,6,1,84,5,7,16-6829-52763,Radium,,16-6829-52763 Radium ,TRUE,3,
17-3053-51969,Ranger ,46.90502,-83.56707,46,9,0,83,5,6,17-3053-51969,Ranger,,17-3053-51969 Ranger ,TRUE,3,
17-3764-51679,Rawhide ,46.65506,-82.61487,46,6,5,82,6,1,17-3764-51679,Rawhide,,17-3764-51679 Rawhide ,TRUE,3,
17-5330-51961,Rawson ,46.92006,-80.56675,46,9,2,80,5,6,17-5330-51961,Rawson,,17-5330-51961 Rawson ,TRUE,3,
17-2870-51459,Rock ,46.43338,-83.77218,46,4,3,83,7,7,17-2870-51459,Rock,,17-2870-51459 Rock ,TRUE,3,
17-3119-51894,Rock ,46.83794,-83.47612,46,8,3,83,4,7,17-3119-51894,Rock,,17-3119-51894 Rock ,TRUE,3,
17-4759-52050,Rome ,46.99809,-81.30837,46,9,9,81,3,0,17-4759-52050,Rome,,17-4759-52050 Rome ,TRUE,3,
17-3930-52114,Rose ,47.0495,-82.40792,47,0,4,82,4,0,17-3930-52114,Rose,,17-3930-52114 Rose ,TRUE,3,
17-3631-51330,Rossmere ,46.33895,-82.77877,46,3,3,82,7,7,17-3631-51330,Rossmere,,17-3631-51330 Rossmere ,TRUE,3,
17-4302-51759,Rushbrook ,46.73787,-81.91669,46,7,3,81,9,1,17-4302-51759,Rushbrook,,17-4302-51759 Rushbrook ,TRUE,3,
17-4329-51689,S ,46.67256,-81.87708,46,6,7,81,8,7,17-4329-51689,S,,17-4329-51689 S ,TRUE,3,
17-2880-52035,Saddle ,46.95281,-83.78813,46,9,5,83,7,8,17-2880-52035,Saddle,,17-2880-52035 Saddle ,TRUE,3,
16-6855-52885,Sand ,47.72534,-84.52605,47,7,2,84,5,2,16-6855-52885,Sand,,16-6855-52885 Sand ,TRUE,3,
17-3086-52062,Saymo ,46.98215,-83.51746,46,9,8,83,5,1,17-3086-52062,Saymo,,17-3086-52062 Saymo ,TRUE,3,
17-4713-52126,Scotia ,47.07183,-81.37676,47,0,7,81,3,7,17-4713-52126,Scotia,,17-4713-52126 Scotia ,TRUE,3,
17-5289-52606,Shack ,47.50515,-80.61946,47,5,0,80,6,1,17-5289-52606,Shack,,17-5289-52606 Shack ,TRUE,3,
17-3014-51622,Shelden ,46.58666,-83.59021,46,5,8,83,5,9,17-3014-51622,Shelden,,17-3014-51622 Shelden ,TRUE,3,
16-7100-51834,Sill ,46.77338,-84.24994,46,7,7,84,2,4,16-7100-51834,Sill,,16-7100-51834 Sill ,TRUE,3,
17-3532-50820,Silver ,45.87756,-82.89127,45,8,7,82,8,9,17-3532-50820,Silver,,17-3532-50820 Silver ,TRUE,3,
17-2881-51642,Smith ,46.59883,-83.76745,46,5,9,83,7,6,17-2881-51642,Smith,,17-2881-51642 Smith ,TRUE,3,
17-5182-52469,Smith ,47.37764,-80.75967,47,3,7,80,7,5,17-5182-52469,Smith,,17-5182-52469 Smith ,TRUE,3,
17-2976-52164,South Branch ,47.06961,-83.67101,47,0,6,83,6,7,17-2976-52164,South,Branch,17-2976-52164 South Branch ,FALSE,4, 
17-5338-52629,Southbear ,47.5213,-80.55067,47,5,2,80,5,5,17-5338-52629,Southbear,,17-5338-52629 Southbear ,TRUE,3,
17-3943-51700,Spinweb ,46.67548,-82.38285,46,6,7,82,3,8,17-3943-51700,Spinweb,,17-3943-51700 Spinweb ,TRUE,3,
17-4481-51168,Stratton ,46.2045,-81.67262,46,2,0,81,6,7,17-4481-51168,Stratton,,17-4481-51168 Stratton ,TRUE,3,
17-3849-51482,Teasdale ,46.4795,-82.49876,46,4,7,82,4,9,17-3849-51482,Teasdale,,17-3849-51482 Teasdale ,TRUE,3,
17-3629-51531,Ten Mile ,46.51978,-82.78766,46,5,1,82,7,8,17-3629-51531,Ten,Mile,17-3629-51531 Ten Mile ,FALSE,4, 
17-3874-50782,Tobacco ,45.85575,-82.44543,45,8,5,82,4,4,17-3874-50782,Tobacco,,17-3874-50782 Tobacco ,TRUE,3,
17-3716-51254,Turtle ,46.27189,-82.66444,46,2,7,82,6,6,17-3716-51254,Turtle,,17-3716-51254 Turtle ,TRUE,3,
16-6806-52194,Upper Pancake ,47.10561,-84.61995,47,1,0,84,6,1,16-6806-52194,Upper,Pancake,16-6806-52194 Upper Pancake ,FALSE,4, 
17-4810-51976,Venetian ,46.93902,-81.25157,46,9,3,81,2,5,17-4810-51976,Venetian,,17-4810-51976 Venetian ,TRUE,3,
17-4700-51520,Vermilion ,46.51845,-81.4009,46,5,1,81,4,0,17-4700-51520,Vermilion,,17-4700-51520 Vermilion ,TRUE,3,
16-6845-52653,Vesi ,47.52308,-84.55705,47,5,2,84,5,5,16-6845-52653,Vesi,,16-6845-52653 Vesi ,TRUE,3,
17-4549-51263,Wabagishik ,46.29283,-81.58644,46,2,9,81,5,8,17-4549-51263,Wabagishik,,17-4549-51263 Wabagishik ,TRUE,3,
16-6746-52826,Wabigoon ,47.67774,-84.67689,47,6,7,84,6,7,16-6746-52826,Wabigoon,,16-6746-52826 Wabigoon ,TRUE,3,
17-3606-52610,Wakami ,47.48206,-82.84313,47,4,8,82,8,4,17-3606-52610,Wakami,,17-3606-52610 Wakami ,TRUE,3,
17-3191-51595,Wakomata ,46.57189,-83.36057,46,5,7,83,3,6,17-3191-51595,Wakomata,,17-3191-51595 Wakomata ,TRUE,3,
17-4608-51161,Walker ,46.1992,-81.50973,46,1,9,81,5,0,17-4608-51161,Walker,,17-4608-51161 Walker ,TRUE,3,
17-5191-51772,Wanapitei ,46.71176,-80.7164,46,7,1,80,7,1,17-5191-51772,Wanapitei,,17-5191-51772 Wanapitei ,TRUE,3,
17-2880-52069,Ward ,46.98394,-83.78715,46,9,8,83,7,8,17-2880-52069,Ward,,17-2880-52069 Ward ,TRUE,3,
17-3563-52382,Wasasinka ,47.28823,-82.88849,47,2,8,82,8,8,17-3563-52382,Wasasinka,,17-3563-52382 Wasasinka ,TRUE,3,
17-2762-52221,Watson ,47.12079,-83.95753,47,1,2,83,9,5,17-2762-52221,Watson,,17-2762-52221 Watson ,TRUE,3,
16-7186-51904,Weckstrom ,46.82679,-84.15028,46,8,2,84,1,5,16-7186-51904,Weckstrom,,16-7186-51904 Weckstrom ,TRUE,3,
17-3416-52510,Wenebegon ,47.38611,-83.09145,47,3,8,83,0,9,17-3416-52510,Wenebegon,,17-3416-52510 Wenebegon ,TRUE,3,
17-3974-51436,Whiskey ,46.43411,-82.34418,46,4,3,82,3,4,17-3974-51436,Whiskey,,17-3974-51436 Whiskey ,TRUE,3,
17-5128-52363,White Pine ,47.28201,-80.83063,47,2,8,80,8,3,17-5128-52363,White,Pine,17-5128-52363 White Pine ,FALSE,4, 
17-4891-51531,Whitewater ,46.53339,-81.14176,46,5,3,81,1,4,17-4891-51531,Whitewater,,17-4891-51531 Whitewater ,TRUE,3,
17-4170-50611,Windfall ,45.7052,-82.06761,45,7,0,82,0,6,17-4170-50611,Windfall,,17-4170-50611 Windfall ,TRUE,3,
17-4664-51605,Windy ,46.59835,-81.44559,46,5,9,81,4,4,17-4664-51605,Windy,,17-4664-51605 Windy ,TRUE,3,
17-3816-50753,Wolsey,45.82284,-82.52459,45,8,2,82,5,2,17-3816-50753,Wolsey,NA,17-3816-50753 Wolsey,FALSE,2,
17-5748-51919,Aileen ,46.87867,-80.01783,46,8,7,80,0,1,17-5748-51919,Aileen,,17-5748-51919 Aileen ,TRUE,3,
17-5827-52344,Anima Nipissing ,47.25951,-79.90616,47,2,5,79,9,0,17-5827-52344,Anima,Nipissing,17-5827-52344 Anima Nipissing ,FALSE,4, 
17-5552-52523,Anvil ,47.42262,-80.26691,47,4,2,80,2,6,17-5552-52523,Anvil,,17-5552-52523 Anvil ,TRUE,3,
17-5758-51468,Bain ,46.47284,-80.01199,46,4,7,80,0,1,17-5758-51468,Bain,,17-5758-51468 Bain ,TRUE,3,
17-5664-50851,Balsam ,45.9177,-80.14503,45,9,1,80,1,4,17-5664-50851,Balsam,,17-5664-50851 Balsam ,TRUE,3,
17-5880-52436,Bay ,47.34738,-79.83923,47,3,4,79,8,3,17-5880-52436,Bay,,17-5880-52436 Bay ,TRUE,3,
17-5577-51311,Bear ,46.3314,-80.25596,46,3,3,80,2,5,17-5577-51311,Bear,,17-5577-51311 Bear ,TRUE,3,
17-5879-50852,Cadden ,45.9228,-79.86579,45,9,2,79,8,6,17-5879-50852,Cadden,,17-5879-50852 Cadden ,TRUE,3,
17-5970-52137,Cassels ,47.06939,-79.71594,47,0,6,79,7,1,17-5970-52137,Cassels,,17-5970-52137 Cassels ,TRUE,3,
17-6713-51311,Chant Plain ,46.31366,-78.773,46,3,1,78,7,7,17-6713-51311,Chant,Plain,17-6713-51311 Chant Plain ,FALSE,4, 
17-5942-51055,Clear ,46.09839,-79.78115,46,0,9,79,7,8,17-5942-51055,Clear,,17-5942-51055 Clear ,TRUE,3,
17-5788-51912,Cross ,46.8721,-79.96696,46,8,7,79,9,6,17-5788-51912,Cross,,17-5788-51912 Cross ,TRUE,3,
17-5601-51477,Deer ,46.48181,-80.21786,46,4,8,80,2,1,17-5601-51477,Deer,,17-5601-51477 Deer ,TRUE,3,
17-5580-52276,Diamond ,47.20455,-80.24759,47,2,0,80,2,4,17-5580-52276,Diamond,,17-5580-52276 Diamond ,TRUE,3,
17-5852-52035,Driftwood ,46.98242,-79.87887,46,9,8,79,8,7,17-5852-52035,Driftwood,,17-5852-52035 Driftwood ,TRUE,3,
17-5515-51958,Emerald ,46.9159,-80.32312,46,9,1,80,3,2,17-5515-51958,Emerald,,17-5515-51958 Emerald ,TRUE,3,
17-5335-52315,Florence ,47.2431,-80.55819,47,2,4,80,5,5,17-5335-52315,Florence,,17-5335-52315 Florence ,TRUE,3,
17-5618-51964,Gull ,46.92203,-80.18504,46,9,2,80,1,8,17-5618-51964,Gull,,17-5618-51964 Gull ,TRUE,3,
17-5845-51854,Hangstone ,46.81988,-79.88986,46,8,1,79,8,8,17-5845-51854,Hangstone,,17-5845-51854 Hangstone ,TRUE,3,
17-5893-52037,Herridge ,46.98257,-79.82505,46,9,8,79,8,2,17-5893-52037,Herridge,,17-5893-52037 Herridge ,TRUE,3,
17-5932-51960,Ingall ,46.91053,-79.77762,46,9,1,79,7,7,17-5932-51960,Ingall,,17-5932-51960 Ingall ,TRUE,3,
17-5933-51926,Jumping Cariboo ,46.88285,-79.78186,46,8,8,79,7,8,17-5933-51926,Jumping,Cariboo,17-5933-51926 Jumping Cariboo ,FALSE,4, 
17-5787-52433,Kittson ,47.33973,-79.95931,47,3,3,79,9,5,17-5787-52433,Kittson,,17-5787-52433 Kittson ,TRUE,3,
17-5733-52151,Kokoko ,47.08895,-80.03639,47,0,8,80,0,3,17-5733-52151,Kokoko,,17-5733-52151 Kokoko ,TRUE,3,
17-5608-52396,Lady Evelyn ,47.35053,-80.14644,47,3,5,80,1,4,17-5608-52396,Lady,Evelyn,17-5608-52396 Lady Evelyn ,FALSE,4, 
17-5430-52549,Makobe ,47.4477,-80.43034,47,4,4,80,4,3,17-5430-52549,Makobe,,17-5430-52549 Makobe ,TRUE,3,
17-5953-51723,Marten ,46.70317,-79.73057,46,7,0,79,7,3,17-5953-51723,Marten,,17-5953-51723 Marten ,TRUE,3,
17-6268-51774,McConnell ,46.73979,-79.33974,46,7,3,79,3,3,17-6268-51774,McConnell,,17-6268-51774 McConnell ,TRUE,3,
17-5778-52271,McLean ,47.19445,-79.97194,47,1,9,79,9,7,17-5778-52271,McLean,,17-5778-52271 McLean ,TRUE,3,
