lakeName,latARU,latBsM,longARU,longBsM,latD_aru,latM1_aru,latM2_aru,latD_BsM,latM1_BsM,latM2_BsM,longD_aru,longM1_aru,longM2_aru,longD_BsM,longM1_BsM,longM2_BsM,ARU_LID,bsmWaterbodyID
Little,443650,44.95967,761525,-81.21941,44,3,6,44,9,5,76,1,5,81,2,1,18-4003-49406,17-4829-49772
Little,443650,44.29649,761525,-78.31027,44,3,6,44,2,9,76,1,5,78,3,1,18-4003-49406,17-7146-49082
Little,440246,44.42642,774930,-79.67346,44,0,2,44,4,2,77,4,9,79,6,7,18-2737-48807,17-6058-49199
Little,440246,44.81843,774930,-79.7132,44,0,2,44,8,1,77,4,9,79,7,1,18-2737-48807,17-6016-49633
Little,440246,44.95967,774930,-81.21941,44,0,2,44,9,5,77,4,9,81,2,1,18-2737-48807,17-4829-49772
Little,440246,44.29649,774930,-78.31027,44,0,2,44,2,9,77,4,9,78,3,1,18-2737-48807,17-7146-49082
Little,442536,44.42642,794016,-79.67346,44,2,5,44,4,2,79,4,0,79,6,7,17-6058-49199,17-6058-49199
Little,442536,44.81843,794016,-79.7132,44,2,5,44,8,1,79,4,0,79,7,1,17-6058-49199,17-6016-49633
Little,442536,44.95967,794016,-81.21941,44,2,5,44,9,5,79,4,0,81,2,1,17-6058-49199,17-4829-49772
Little,442536,44.29649,794016,-78.31027,44,2,5,44,2,9,79,4,0,78,3,1,17-6058-49199,17-7146-49082
Little,444904,44.42642,794254,-79.67346,44,4,9,44,4,2,79,4,2,79,6,7,17-6016-49633,17-6058-49199
Little,444904,44.81843,794254,-79.7132,44,4,9,44,8,1,79,4,2,79,7,1,17-6016-49633,17-6016-49633
Little,444904,44.95967,794254,-81.21941,44,4,9,44,9,5,79,4,2,81,2,1,17-6016-49633,17-4829-49772
Little,444904,44.29649,794254,-78.31027,44,4,9,44,2,9,79,4,2,78,3,1,17-6016-49633,17-7146-49082
Little,444406,44.42642,795319,-79.67346,44,4,4,44,4,2,79,5,3,79,6,7,17-5880-49539,17-6058-49199
Little,444406,44.81843,795319,-79.7132,44,4,4,44,8,1,79,5,3,79,7,1,17-5880-49539,17-6016-49633
Little,444406,44.95967,795319,-81.21941,44,4,4,44,9,5,79,5,3,81,2,1,17-5880-49539,17-4829-49772
Little,444406,44.29649,795319,-78.31027,44,4,4,44,2,9,79,5,3,78,3,1,17-5880-49539,17-7146-49082
Little,460633,44.42642,780640,-79.67346,46,0,6,44,4,2,78,0,6,79,6,7,17-7233-51100,17-6058-49199
Little,460633,44.81843,780640,-79.7132,46,0,6,44,8,1,78,0,6,79,7,1,17-7233-51100,17-6016-49633
Little,460633,44.95967,780640,-81.21941,46,0,6,44,9,5,78,0,6,81,2,1,17-7233-51100,17-4829-49772
Little,460633,44.29649,780640,-78.31027,46,0,6,44,2,9,78,0,6,78,3,1,17-7233-51100,17-7146-49082
Little,485540,44.42642,805902,-79.67346,48,5,5,44,4,2,80,5,9,79,6,7,17-5012-54192,17-6058-49199
Little,485540,44.81843,805902,-79.7132,48,5,5,44,8,1,80,5,9,79,7,1,17-5012-54192,17-6016-49633
Little,485540,44.95967,805902,-81.21941,48,5,5,44,9,5,80,5,9,81,2,1,17-5012-54192,17-4829-49772
Little,485540,44.29649,805902,-78.31027,48,5,5,44,2,9,80,5,9,78,3,1,17-5012-54192,17-7146-49082
Little,484645,44.42642,810400,-79.67346,48,4,6,44,4,2,81,0,4,79,6,7,17-4951-54027,17-6058-49199
Little,484645,44.81843,810400,-79.7132,48,4,6,44,8,1,81,0,4,79,7,1,17-4951-54027,17-6016-49633
Little,484645,44.95967,810400,-81.21941,48,4,6,44,9,5,81,0,4,81,2,1,17-4951-54027,17-4829-49772
Little,484645,44.29649,810400,-78.31027,48,4,6,44,2,9,81,0,4,78,3,1,17-4951-54027,17-7146-49082
Little,NA,44.42642,NA,-79.67346,NA,NA,NA,44,4,2,NA,NA,NA,79,6,7,17-5588-50289,17-6058-49199
Little,NA,44.81843,NA,-79.7132,NA,NA,NA,44,8,1,NA,NA,NA,79,7,1,17-5588-50289,17-6016-49633
Little,NA,44.95967,NA,-81.21941,NA,NA,NA,44,9,5,NA,NA,NA,81,2,1,17-5588-50289,17-4829-49772
Little,NA,44.29649,NA,-78.31027,NA,NA,NA,44,2,9,NA,NA,NA,78,3,1,17-5588-50289,17-7146-49082
Little,NA,44.42642,NA,-79.67346,NA,NA,NA,44,4,2,NA,NA,NA,79,6,7,17-7147-49082,17-6058-49199
Little,NA,44.81843,NA,-79.7132,NA,NA,NA,44,8,1,NA,NA,NA,79,7,1,17-7147-49082,17-6016-49633
Little,NA,44.95967,NA,-81.21941,NA,NA,NA,44,9,5,NA,NA,NA,81,2,1,17-7147-49082,17-4829-49772
Little,NA,44.29649,NA,-78.31027,NA,NA,NA,44,2,9,NA,NA,NA,78,3,1,17-7147-49082,17-7146-49082
Little Abitibi,492439,49.4068,803236,-80.54886,49,2,4,49,4,0,80,3,2,80,5,4,17-5331-54730,17-5331-54730
Little Bald,443426,44.57455,782505,-78.41518,44,3,4,44,5,7,78,2,5,78,4,1,17-7050-49386,17-7050-49386
Little Burwash,470757,47.13256,810532,-81.09204,47,0,7,47,1,3,81,0,5,81,0,9,17-4930-52197,17-4930-52197
Little Chiblow,462125,46.357,830754,-83.13157,46,2,1,46,3,5,83,0,7,83,1,3,17-3360-51357,17-3360-51357
Little Dossier,474543,47.76202,844246,-84.71272,47,4,5,47,7,6,84,4,2,84,7,1,16-6714-52922,16-6714-52922
Little Gordon,NA,49.89284,NA,-93.76337,NA,NA,NA,49,8,9,NA,NA,NA,93,7,6,15-4452-55268,15-4452-55268
Little John,480551,44.51542,814802,-76.62831,48,0,5,44,5,1,81,4,8,76,6,2,17-4404-53272,18-3702-49303
Little Kesagami,494457,49.74674,801636,-80.27486,49,4,4,49,7,4,80,1,6,80,2,7,17-5521-55108,17-5521-55108
Little Long,444054,44.45614,780852,-76.56505,44,4,0,44,4,5,78,0,8,76,5,6,17-7261-49513,18-3753-49228
Little Long,443341,44.45614,760519,-76.56505,44,3,3,44,4,5,76,0,5,76,5,6,18-4135-49346,18-3753-49228
Little Long,452653,44.45614,790829,-76.56505,45,2,6,44,4,5,79,0,8,76,5,6,17-6454-50342,18-3753-49228
Little Long,455401,44.45614,800407,-76.56505,45,5,4,44,4,5,80,0,4,76,5,6,17-5722-50832,18-3753-49228
Little Long,450015,44.45614,772711,-76.56505,45,0,0,44,4,5,77,2,7,76,5,6,18-3067-49861,18-3753-49228
