lakeName,ARU_LID,LATITUDE,LONGITUDE,latD,latM1,latM2,longD,longM1,longM2,lakeName_a,lakeName_b,waterbodyAndLake,waterbodyAndLake_ok,waterbodyAndLake_pieces,waterbodyAndLake_remainder
Saskatchewan,17-6748-49998,450754,784639,45,0,7,78,4,6,Saskatchewan,NA,Saskatchewan,FALSE,1,
Sassafras,15-6776-55256,495131,903143,49,5,1,90,3,1,Sassafras,NA,Sassafras,FALSE,1,
Sassenach,15-6959-55928,502723,901426,50,2,7,90,1,4,Sassenach,NA,Sassenach,FALSE,1,
Saucer,17-6598-50012,450853,785804,45,0,8,78,5,8,Saucer,NA,Saucer,FALSE,1,
Sauerbrei,16-3171-54602,491608,893049,49,1,6,89,3,0,Sauerbrei,NA,Sauerbrei,FALSE,1,
Saunders,16-6545-53960,484201,845401,48,4,2,84,5,4,Saunders,NA,Saunders,FALSE,1,
Sausage,16-6821-53600,482208,843229,48,2,2,84,3,2,Sausage,NA,Sausage,FALSE,1,
Sausage,17-6314-50908,455736,791814,45,5,7,79,1,8,Sausage,NA,Sausage,FALSE,1,
Savage,17-4226-51406,462458,820027,46,2,4,82,0,0,Savage,NA,Savage,FALSE,1,
Savant,15-6825-55952,502856,902538,50,2,8,90,2,5,Savant,NA,Savant,FALSE,1,
Savitsky,15-6064-54795,492739,913153,49,2,7,91,3,1,Savitsky,NA,Savitsky,FALSE,1,
Savoy,15-6448-54598,491634,910035,49,1,6,91,0,0,Savoy,NA,Savoy,FALSE,1,
Saw,17-3882-53338,480858,823011,48,0,8,82,3,0,Saw,NA,Saw,FALSE,1,
Saw,16-6663-54883,493135,844206,49,3,1,84,4,2,Saw,NA,Saw,FALSE,1,
Saw,17-6555-49898,450246,790133,45,0,2,79,0,1,Saw,NA,Saw,FALSE,1,
Sawbill,17-3368-52019,465708,830840,46,5,7,83,0,8,Sawbill,NA,Sawbill,FALSE,1,
Sawdust,17-5119-53882,483855,805016,48,3,8,80,5,0,Sawdust,NA,Sawdust,FALSE,1,
Sawhorse,17-5270-52019,465819,803844,46,5,8,80,3,8,Sawhorse,NA,Sawhorse,FALSE,1,
Sawmill,17-4954-54014,484602,810347,48,4,6,81,0,3,Sawmill,NA,Sawmill,FALSE,1,
Sawyer,17-6636-50569,453855,785402,45,3,8,78,5,4,Sawyer,NA,Sawyer,FALSE,1,
Scar,17-4944-51115,460933,810423,46,0,9,81,0,4,Scar,NA,Scar,FALSE,1,
Scarbo,17-3476-51582,463344,825919,46,3,3,82,5,9,Scarbo,NA,Scarbo,FALSE,1,
Scarecrow,17-5187-52362,471650,804511,47,1,6,80,4,5,Scarecrow,NA,Scarecrow,FALSE,1,
Scarlet,17-5580-53033,NA,NA,NA,NA,NA,NA,NA,NA,Scarlet,NA,Scarlet,FALSE,1,
Scattergood,15-5206-54600,491739,924258,49,1,7,92,4,2,Scattergood,NA,Scattergood,FALSE,1,
Scaup,16-7040-55458,500155,840905,50,0,1,84,0,9,Scaup,NA,Scaup,FALSE,1,
Scenic,15-4136-55653,501407,941239,50,1,4,94,1,2,Scenic,NA,Scenic,FALSE,1,
Schavens,18-3293-50267,452231,771047,45,2,2,77,1,0,Schavens,NA,Schavens,FALSE,1,
Scheil,17-6295-50836,455345,791950,45,5,3,79,1,9,Scheil,NA,Scheil,FALSE,1,
Schell,17-5978-50933,455919,794416,45,5,9,79,4,4,Schell,NA,Schell,FALSE,1,
Schist,17-4250-52701,473455,815950,47,3,4,81,5,9,Schist,NA,Schist,FALSE,1,
Schistose,15-4562-54445,490915,933603,49,0,9,93,3,6,Schistose,NA,Schistose,FALSE,1,
Schmeiler,17-6061-50655,454413,793811,45,4,4,79,3,8,Schmeiler,NA,Schmeiler,FALSE,1,
Schmidt,17-4751-48903,441002,811840,44,1,0,81,1,8,Schmidt,NA,Schmidt,FALSE,1,
